email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
196FA4E226F24211	roll20	20	10	2	"5,5,10,15,25,15,10,5,5,5"	23	257.349	9	10
C8F3BE8204B4B0B7	roll20	20	10	2	"5,5,10,20,20,10,10,10,5,5"	49	158.165	5	10
F3647F4B4D24F2C1	roll20	20	10	2	"5,5,30,5,30,5,5,5,5,5"	1	54.051	3	10
10FBB1B7E73255DE	roll20	20	10	2	"0,5,15,20,20,15,10,10,5,0"	0	134.383	NA	10
0B9430EC318A13CE	roll20	20	10	2	"5,5,5,25,25,10,10,5,5,5"	0	73.368	3	10
3DC3A0497E50AF71	roll20	20	10	2	"5,5,10,15,20,15,15,5,5,5"	13	58.621	5	10
A073DB47E66C7412	roll20	20	10	2	"5,5,5,20,20,20,5,5,5,5"	48	127.023	5	10
77E9FBE366DE6E9C	roll20	20	10	2	"5,5,10,15,25,15,10,5,5,5"	50	30.981	3	10
089393EC118E0A92	roll20	20	10	2	"5,5,15,20,15,15,10,5,5,5"	21	69.716	1	10
6FA1A149D54044D9	roll20	20	10	2	"0,0,15,25,25,15,10,5,0,0"	17	66.056	2	10
105DACF0B3829286	roll20	20	10	2	"0,5,20,30,20,10,5,0,0,0"	96	62.506	3	10
E673DB302DE3FAE7	addclick50	50	10	2	"2,6,10,12,16,20,16,10,6,2"	50	33.379	NA	10
416D6A1F48195C10	addclick50	50	10	2	"2,2,6,14,26,26,14,6,2,2"	55	98.558	2	10
7BE8CFCFF4293572	addclick50	50	10	2	"2,4,8,20,30,20,8,4,2,2"	85	170.228	6	10
F4AF810FDD940945	addclick50	50	10	2	"2,2,4,10,20,26,20,10,4,2"	90	87.268	2	10
D39C7DA84DB3E471	addclick50	50	10	2	"2,2,4,8,18,18,10,8,4,2"	19	58.143	4	10
612E34B7B2F1EC39	addclick50	50	10	2	"2,2,6,16,24,24,16,6,2,2"	82	94.125	2	10
F3E9B51A6B1E3D3B	addclick50	50	10	2	"0,2,6,12,16,30,18,16,0,0"	16	27.481	6	10
0ECD4B30FBFD47EE	addclick50	50	10	2	"0,0,2,8,24,32,24,8,2,0"	0	74.904	2	10
475AAB95ED4AC8C2	addclick50	50	10	2	"2,2,4,10,18,30,18,10,4,2"	45	74.423	2	10
59E42276E5414454	addclick50	50	10	2	"4,4,8,10,16,24,16,10,4,4"	89	156.062	NA	10
